n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
2,300,Cao,11,False,42,4,0.0210087299346923,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,,,kmodes,zelnik6_y.zip
2,300,Cao,11,False,42,4,0.0170912742614746,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,1000.0,20.0,kmodes,zelnik6_y.zip
2,300,Cao,11,False,42,4,0.0171735286712646,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,100.0,20.0,kmodes,zelnik6_y.zip
2,300,Cao,11,False,42,4,0.0171248912811279,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,inf,20.0,kmodes,zelnik6_y.zip
2,500,Cao,11,False,42,4,0.0194597244262695,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,,,kmodes,zelnik6_y.zip
2,500,Cao,11,False,42,4,0.0171961784362792,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,1000.0,20.0,kmodes,zelnik6_y.zip
2,500,Cao,11,False,42,4,0.0172255039215087,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,100.0,20.0,kmodes,zelnik6_y.zip
2,500,Cao,11,False,42,4,0.0179214477539062,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,inf,20.0,kmodes,zelnik6_y.zip
3,100,Cao,11,False,42,4,0.0221562385559082,-0.2975,0.4882,1.3598,0.3507,-0.0036,0.0073,-0.0031,0.013,0.0068,0.135,0.013,0.5829,,,kmodes,zelnik6_y.zip
3,300,Cao,11,False,42,4,0.0218563079833984,-0.2975,0.4882,1.3598,0.3507,-0.0036,0.0073,-0.0031,0.013,0.0068,0.135,0.013,0.5829,,,kmodes,zelnik6_y.zip
3,500,Cao,11,False,42,4,0.0220861434936523,-0.2975,0.4882,1.3598,0.3507,-0.0036,0.0073,-0.0031,0.013,0.0068,0.135,0.013,0.5829,,,kmodes,zelnik6_y.zip
4,100,Cao,11,False,42,4,0.026202917098999,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,,,kmodes,zelnik6_y.zip
4,100,Cao,11,False,42,4,0.0207254886627197,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,1000.0,20.0,kmodes,zelnik6_y.zip
4,100,Cao,11,False,42,4,0.0200903415679931,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,100.0,20.0,kmodes,zelnik6_y.zip
4,100,Cao,11,False,42,4,0.0202219486236572,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,inf,20.0,kmodes,zelnik6_y.zip
4,300,Cao,11,False,42,4,0.0245733261108398,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,,,kmodes,zelnik6_y.zip
4,300,Cao,11,False,42,4,0.0201842784881591,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,1000.0,20.0,kmodes,zelnik6_y.zip
4,300,Cao,11,False,42,4,0.020216941833496,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,100.0,20.0,kmodes,zelnik6_y.zip
4,300,Cao,11,False,42,4,0.0203158855438232,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,inf,20.0,kmodes,zelnik6_y.zip
4,500,Cao,11,False,42,4,0.025803804397583,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,,,kmodes,zelnik6_y.zip
4,500,Cao,11,False,42,4,0.0204660892486572,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,1000.0,20.0,kmodes,zelnik6_y.zip
4,500,Cao,11,False,42,4,0.0201880931854248,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,100.0,20.0,kmodes,zelnik6_y.zip
4,500,Cao,11,False,42,4,0.020186424255371,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,inf,20.0,kmodes,zelnik6_y.zip
6,100,Cao,11,False,42,4,0.0302202701568603,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,,,kmodes,zelnik6_y.zip
6,100,Cao,11,False,42,4,0.0237329006195068,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,1000.0,20.0,kmodes,zelnik6_y.zip
6,100,Cao,11,False,42,4,0.0237939357757568,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,100.0,20.0,kmodes,zelnik6_y.zip
6,100,Cao,11,False,42,4,0.0237596035003662,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,inf,20.0,kmodes,zelnik6_y.zip
6,300,Cao,11,False,42,4,0.032017707824707,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,,,kmodes,zelnik6_y.zip
6,300,Cao,11,False,42,4,0.0236895084381103,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,1000.0,20.0,kmodes,zelnik6_y.zip
6,300,Cao,11,False,42,4,0.0239763259887695,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,100.0,20.0,kmodes,zelnik6_y.zip
6,300,Cao,11,False,42,4,0.0237452983856201,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,inf,20.0,kmodes,zelnik6_y.zip
6,500,Cao,11,False,42,4,0.0297739505767822,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,,,kmodes,zelnik6_y.zip
6,500,Cao,11,False,42,4,0.023998737335205,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,1000.0,20.0,kmodes,zelnik6_y.zip
6,500,Cao,11,False,42,4,0.0238120555877685,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,100.0,20.0,kmodes,zelnik6_y.zip
6,500,Cao,11,False,42,4,0.0237696170806884,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,inf,20.0,kmodes,zelnik6_y.zip
8,100,Cao,11,False,42,4,0.03804612159729,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,,,kmodes,zelnik6_y.zip
8,100,Cao,11,False,42,4,0.0272455215454101,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,1000.0,20.0,kmodes,zelnik6_y.zip
8,100,Cao,11,False,42,4,0.0273218154907226,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,100.0,20.0,kmodes,zelnik6_y.zip
8,100,Cao,11,False,42,4,0.0274586677551269,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,inf,20.0,kmodes,zelnik6_y.zip
8,300,Cao,11,False,42,4,0.0355224609375,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,,,kmodes,zelnik6_y.zip
8,300,Cao,11,False,42,4,0.0274345874786376,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,1000.0,20.0,kmodes,zelnik6_y.zip
8,300,Cao,11,False,42,4,0.0272965431213378,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,100.0,20.0,kmodes,zelnik6_y.zip
8,300,Cao,11,False,42,4,0.0273733139038085,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,inf,20.0,kmodes,zelnik6_y.zip
8,500,Cao,11,False,42,4,0.0399305820465087,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,,,kmodes,zelnik6_y.zip
8,500,Cao,11,False,42,4,0.0272266864776611,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,1000.0,20.0,kmodes,zelnik6_y.zip
8,500,Cao,11,False,42,4,0.0272886753082275,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,100.0,20.0,kmodes,zelnik6_y.zip
8,500,Cao,11,False,42,4,0.027463674545288,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,inf,20.0,kmodes,zelnik6_y.zip
10,100,Cao,11,False,42,4,0.0307967662811279,-0.324,0.4371,1.3948,0.3616,-0.0141,0.0338,-0.0111,0.0514,0.0316,0.1386,0.0514,0.5596,1000.0,20.0,kmodes,zelnik6_y.zip
10,100,Cao,11,False,42,4,0.0313692092895507,-0.324,0.4371,1.3948,0.3616,-0.0141,0.0338,-0.0111,0.0514,0.0316,0.1386,0.0514,0.5596,100.0,20.0,kmodes,zelnik6_y.zip
10,100,Cao,11,False,42,4,0.0310332775115966,-0.324,0.4371,1.3948,0.3616,-0.0141,0.0338,-0.0111,0.0514,0.0316,0.1386,0.0514,0.5596,inf,20.0,kmodes,zelnik6_y.zip
10,300,Cao,11,False,42,4,0.0309937000274658,-0.324,0.4371,1.3948,0.3616,-0.0141,0.0338,-0.0111,0.0514,0.0316,0.1386,0.0514,0.5596,1000.0,20.0,kmodes,zelnik6_y.zip
10,300,Cao,11,False,42,4,0.0311310291290283,-0.324,0.4371,1.3948,0.3616,-0.0141,0.0338,-0.0111,0.0514,0.0316,0.1386,0.0514,0.5596,100.0,20.0,kmodes,zelnik6_y.zip
10,300,Cao,11,False,42,4,0.0309474468231201,-0.324,0.4371,1.3948,0.3616,-0.0141,0.0338,-0.0111,0.0514,0.0316,0.1386,0.0514,0.5596,inf,20.0,kmodes,zelnik6_y.zip
10,500,Cao,11,False,42,4,0.0310561656951904,-0.324,0.4371,1.3948,0.3616,-0.0141,0.0338,-0.0111,0.0514,0.0316,0.1386,0.0514,0.5596,1000.0,20.0,kmodes,zelnik6_y.zip
10,500,Cao,11,False,42,4,0.0309681892395019,-0.324,0.4371,1.3948,0.3616,-0.0141,0.0338,-0.0111,0.0514,0.0316,0.1386,0.0514,0.5596,100.0,20.0,kmodes,zelnik6_y.zip
10,500,Cao,11,False,42,4,0.0312752723693847,-0.324,0.4371,1.3948,0.3616,-0.0141,0.0338,-0.0111,0.0514,0.0316,0.1386,0.0514,0.5596,inf,20.0,kmodes,zelnik6_y.zip
12,100,Cao,11,False,42,4,0.0347895622253418,-0.3178,0.4483,1.3702,0.365,-0.0166,0.0416,-0.0128,0.0608,0.0388,0.1397,0.0608,0.5533,1000.0,20.0,kmodes,zelnik6_y.zip
12,100,Cao,11,False,42,4,0.0345461368560791,-0.3178,0.4483,1.3702,0.365,-0.0166,0.0416,-0.0128,0.0608,0.0388,0.1397,0.0608,0.5533,100.0,20.0,kmodes,zelnik6_y.zip
12,100,Cao,11,False,42,4,0.0348141193389892,-0.3178,0.4483,1.3702,0.365,-0.0166,0.0416,-0.0128,0.0608,0.0388,0.1397,0.0608,0.5533,inf,20.0,kmodes,zelnik6_y.zip
12,300,Cao,11,False,42,4,0.0350074768066406,-0.3178,0.4483,1.3702,0.365,-0.0166,0.0416,-0.0128,0.0608,0.0388,0.1397,0.0608,0.5533,1000.0,20.0,kmodes,zelnik6_y.zip
12,300,Cao,11,False,42,4,0.0348560810089111,-0.3178,0.4483,1.3702,0.365,-0.0166,0.0416,-0.0128,0.0608,0.0388,0.1397,0.0608,0.5533,100.0,20.0,kmodes,zelnik6_y.zip
12,300,Cao,11,False,42,4,0.0349869728088378,-0.3178,0.4483,1.3702,0.365,-0.0166,0.0416,-0.0128,0.0608,0.0388,0.1397,0.0608,0.5533,inf,20.0,kmodes,zelnik6_y.zip
12,500,Cao,11,False,42,4,0.0346639156341552,-0.3178,0.4483,1.3702,0.365,-0.0166,0.0416,-0.0128,0.0608,0.0388,0.1397,0.0608,0.5533,1000.0,20.0,kmodes,zelnik6_y.zip
12,500,Cao,11,False,42,4,0.0347862243652343,-0.3178,0.4483,1.3702,0.365,-0.0166,0.0416,-0.0128,0.0608,0.0388,0.1397,0.0608,0.5533,100.0,20.0,kmodes,zelnik6_y.zip
12,500,Cao,11,False,42,4,0.0352025032043457,-0.3178,0.4483,1.3702,0.365,-0.0166,0.0416,-0.0128,0.0608,0.0388,0.1397,0.0608,0.5533,inf,20.0,kmodes,zelnik6_y.zip
2,100,Cao,11,False,42,4,0.017026662826538,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,1000.0,20.0,kmodes,zelnik6_y.zip
2,100,Cao,11,False,42,4,0.0171201229095459,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,100.0,20.0,kmodes,zelnik6_y.zip
2,100,Cao,11,False,42,4,0.0172381401062011,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,inf,20.0,kmodes,zelnik6_y.zip
2,300,Cao,11,False,42,4,0.0170912742614746,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,1000.0,20.0,kmodes,zelnik6_y.zip
2,300,Cao,11,False,42,4,0.0171735286712646,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,100.0,20.0,kmodes,zelnik6_y.zip
2,300,Cao,11,False,42,4,0.0171248912811279,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,inf,20.0,kmodes,zelnik6_y.zip
2,500,Cao,11,False,42,4,0.0171961784362792,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,1000.0,20.0,kmodes,zelnik6_y.zip
2,500,Cao,11,False,42,4,0.0172255039215087,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,100.0,20.0,kmodes,zelnik6_y.zip
2,500,Cao,11,False,42,4,0.0179214477539062,-0.2453,0.5773,1.2001,0.3493,-0.0018,0.0037,-0.0016,0.0067,0.0034,0.1345,0.0067,0.5863,inf,20.0,kmodes,zelnik6_y.zip
4,100,Cao,11,False,42,4,0.0207254886627197,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,1000.0,20.0,kmodes,zelnik6_y.zip
4,100,Cao,11,False,42,4,0.0200903415679931,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,100.0,20.0,kmodes,zelnik6_y.zip
4,100,Cao,11,False,42,4,0.0202219486236572,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,inf,20.0,kmodes,zelnik6_y.zip
4,300,Cao,11,False,42,4,0.0201842784881591,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,1000.0,20.0,kmodes,zelnik6_y.zip
4,300,Cao,11,False,42,4,0.020216941833496,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,100.0,20.0,kmodes,zelnik6_y.zip
4,300,Cao,11,False,42,4,0.0203158855438232,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,inf,20.0,kmodes,zelnik6_y.zip
4,500,Cao,11,False,42,4,0.0204660892486572,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,1000.0,20.0,kmodes,zelnik6_y.zip
4,500,Cao,11,False,42,4,0.0201880931854248,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,100.0,20.0,kmodes,zelnik6_y.zip
4,500,Cao,11,False,42,4,0.020186424255371,-0.3224,0.4906,1.3403,0.3521,-0.0052,0.011,-0.0045,0.0191,0.0103,0.1355,0.0191,0.5795,inf,20.0,kmodes,zelnik6_y.zip
6,100,Cao,11,False,42,4,0.0237329006195068,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,1000.0,20.0,kmodes,zelnik6_y.zip
6,100,Cao,11,False,42,4,0.0237939357757568,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,100.0,20.0,kmodes,zelnik6_y.zip
6,100,Cao,11,False,42,4,0.0237596035003662,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,inf,20.0,kmodes,zelnik6_y.zip
6,300,Cao,11,False,42,4,0.0236895084381103,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,1000.0,20.0,kmodes,zelnik6_y.zip
6,300,Cao,11,False,42,4,0.0239763259887695,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,100.0,20.0,kmodes,zelnik6_y.zip
6,300,Cao,11,False,42,4,0.0237452983856201,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,inf,20.0,kmodes,zelnik6_y.zip
6,500,Cao,11,False,42,4,0.023998737335205,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,1000.0,20.0,kmodes,zelnik6_y.zip
6,500,Cao,11,False,42,4,0.0238120555877685,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,100.0,20.0,kmodes,zelnik6_y.zip
6,500,Cao,11,False,42,4,0.0237696170806884,-0.3349,0.4426,1.4081,0.3551,-0.0085,0.0185,-0.007,0.0307,0.0173,0.1365,0.0307,0.5727,inf,20.0,kmodes,zelnik6_y.zip
8,100,Cao,11,False,42,4,0.0272455215454101,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,1000.0,20.0,kmodes,zelnik6_y.zip
8,100,Cao,11,False,42,4,0.0273218154907226,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,100.0,20.0,kmodes,zelnik6_y.zip
8,100,Cao,11,False,42,4,0.0274586677551269,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,inf,20.0,kmodes,zelnik6_y.zip
8,300,Cao,11,False,42,4,0.0274345874786376,-0.329,0.4237,1.4197,0.3583,-0.0114,0.0261,-0.0092,0.0414,0.0244,0.1375,0.0414,0.5661,1000.0,20.0,kmodes,zelnik6_y.zip
