min_samples,max_eps,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
20,inf,cosine,auto,4,0.8342912197113037,0.0527,21.8464,1.7394,0.6906,0.2643,0.622,0.4564,0.4652,0.5803,0.3882,0.4652,0.4811,inf,20.0,skl_OPTICS,zelnik6_y.zip
20,inf,euclidean,auto,4,0.4339773654937744,-0.3331,13.7158,1.526,0.4628,0.0254,0.1978,0.2254,0.2334,0.1845,0.3174,0.2334,0.4967,,,skl_OPTICS,zelnik6_y.zip
20,inf,euclidean,auto,4,0.4716067314147949,-0.3331,13.7158,1.526,0.4628,0.0254,0.1978,0.2254,0.2334,0.1845,0.3174,0.2334,0.4967,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
20,inf,euclidean,auto,4,0.4445381164550781,-0.3331,13.7158,1.526,0.4628,0.0254,0.1978,0.2254,0.2334,0.1845,0.3174,0.2334,0.4967,100.0,20.0,skl_OPTICS,zelnik6_y.zip
20,inf,euclidean,auto,4,0.431088924407959,-0.3331,13.7158,1.526,0.4628,0.0254,0.1978,0.2254,0.2334,0.1845,0.3174,0.2334,0.4967,inf,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,correlation,auto,4,0.5838277339935303,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,,,skl_OPTICS,zelnik6_y.zip
2,inf,correlation,auto,4,0.5549192428588867,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,correlation,auto,4,0.580143928527832,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,100.0,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,correlation,auto,4,0.5670242309570312,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,inf,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,cosine,auto,4,0.8614184856414795,-0.1411,18.7351,3.6948,0.6559,0.0258,0.9195,0.233,0.3502,0.8578,0.22,0.3502,0.1367,,,skl_OPTICS,zelnik6_y.zip
2,inf,cosine,auto,4,0.8243958950042725,-0.1411,18.7351,3.6948,0.6559,0.0258,0.9195,0.233,0.3502,0.8578,0.22,0.3502,0.1367,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,cosine,auto,4,0.8656589984893799,-0.1411,18.7351,3.6948,0.6559,0.0258,0.9195,0.233,0.3502,0.8578,0.22,0.3502,0.1367,100.0,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,cosine,auto,4,0.8124549388885498,-0.1411,18.7351,3.6948,0.6559,0.0258,0.9195,0.233,0.3502,0.8578,0.22,0.3502,0.1367,inf,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,euclidean,auto,4,0.6787025928497314,0.3913,24.6463,1.2496,0.6573,0.0305,0.9651,0.2592,0.3699,0.9003,0.2328,0.3699,0.1474,,,skl_OPTICS,zelnik6_y.zip
2,inf,euclidean,auto,4,0.4338116645812988,0.3913,24.6463,1.2496,0.6573,0.0305,0.9651,0.2592,0.3699,0.9003,0.2328,0.3699,0.1474,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,euclidean,auto,4,0.4382205009460449,0.3913,24.6463,1.2496,0.6573,0.0305,0.9651,0.2592,0.3699,0.9003,0.2328,0.3699,0.1474,100.0,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,euclidean,auto,4,1.3281307220458984,0.3913,24.6463,1.2496,0.6573,0.0305,0.9651,0.2592,0.3699,0.9003,0.2328,0.3699,0.1474,inf,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,correlation,auto,4,0.5531747341156006,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,,,skl_OPTICS,zelnik6_y.zip
3,inf,correlation,auto,4,0.5460498332977295,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,correlation,auto,4,0.5536892414093018,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,100.0,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,correlation,auto,4,0.5463998317718506,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,inf,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,cosine,auto,4,0.851649284362793,-0.2191,8.7138,3.3586,0.6434,0.042,0.7472,0.279,0.3467,0.6971,0.2307,0.3467,0.2135,,,skl_OPTICS,zelnik6_y.zip
3,inf,cosine,auto,4,0.8252658843994141,-0.2191,8.7138,3.3586,0.6434,0.042,0.7472,0.279,0.3467,0.6971,0.2307,0.3467,0.2135,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,cosine,auto,4,0.8163580894470215,-0.2191,8.7138,3.3586,0.6434,0.042,0.7472,0.279,0.3467,0.6971,0.2307,0.3467,0.2135,100.0,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,cosine,auto,4,0.8294122219085693,-0.2191,8.7138,3.3586,0.6434,0.042,0.7472,0.279,0.3467,0.6971,0.2307,0.3467,0.2135,inf,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,euclidean,auto,4,0.439763069152832,-0.01,4.4373,1.438,0.6032,0.0193,0.6153,0.2491,0.324,0.574,0.2257,0.324,0.2701,,,skl_OPTICS,zelnik6_y.zip
3,inf,euclidean,auto,4,0.4385690689086914,-0.01,4.4373,1.438,0.6032,0.0193,0.6153,0.2491,0.324,0.574,0.2257,0.324,0.2701,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,euclidean,auto,4,0.4521536827087402,-0.01,4.4373,1.438,0.6032,0.0193,0.6153,0.2491,0.324,0.574,0.2257,0.324,0.2701,100.0,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,euclidean,auto,4,0.457374095916748,-0.01,4.4373,1.438,0.6032,0.0193,0.6153,0.2491,0.324,0.574,0.2257,0.324,0.2701,inf,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,correlation,auto,4,0.5805339813232422,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,,,skl_OPTICS,zelnik6_y.zip
5,inf,correlation,auto,4,0.5568723678588867,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,correlation,auto,4,0.5675632953643799,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,100.0,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,correlation,auto,4,0.5553336143493652,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,inf,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,cosine,auto,4,0.8639822006225586,-0.2046,15.2513,2.7226,0.6289,0.0566,0.6316,0.3128,0.3499,0.5892,0.2489,0.3499,0.2768,,,skl_OPTICS,zelnik6_y.zip
5,inf,cosine,auto,4,0.8164777755737305,-0.2046,15.2513,2.7226,0.6289,0.0566,0.6316,0.3128,0.3499,0.5892,0.2489,0.3499,0.2768,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,cosine,auto,4,0.8215811252593994,-0.2046,15.2513,2.7226,0.6289,0.0566,0.6316,0.3128,0.3499,0.5892,0.2489,0.3499,0.2768,100.0,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,cosine,auto,4,0.8246712684631348,-0.2046,15.2513,2.7226,0.6289,0.0566,0.6316,0.3128,0.3499,0.5892,0.2489,0.3499,0.2768,inf,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,euclidean,auto,4,0.424274206161499,-0.0779,21.3489,1.2529,0.6036,0.0555,0.5697,0.3335,0.3617,0.5315,0.2741,0.3617,0.3272,,,skl_OPTICS,zelnik6_y.zip
5,inf,euclidean,auto,4,0.4340050220489502,-0.0779,21.3489,1.2529,0.6036,0.0555,0.5697,0.3335,0.3617,0.5315,0.2741,0.3617,0.3272,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,euclidean,auto,4,0.4277763366699219,-0.0779,21.3489,1.2529,0.6036,0.0555,0.5697,0.3335,0.3617,0.5315,0.2741,0.3617,0.3272,100.0,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,euclidean,auto,4,0.4288148880004883,-0.0779,21.3489,1.2529,0.6036,0.0555,0.5697,0.3335,0.3617,0.5315,0.2741,0.3617,0.3272,inf,20.0,skl_OPTICS,zelnik6_y.zip
10,inf,correlation,auto,4,0.5406665802001953,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
10,inf,correlation,auto,4,0.5535612106323242,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,100.0,20.0,skl_OPTICS,zelnik6_y.zip
10,inf,correlation,auto,4,0.5924689769744873,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,inf,20.0,skl_OPTICS,zelnik6_y.zip
10,inf,cosine,auto,4,0.8101797103881836,-0.0976,55.7118,1.2424,0.6495,0.1578,0.6049,0.3996,0.4143,0.5643,0.3272,0.4143,0.397,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
10,inf,cosine,auto,4,0.8086340427398682,-0.0976,55.7118,1.2424,0.6495,0.1578,0.6049,0.3996,0.4143,0.5643,0.3272,0.4143,0.397,100.0,20.0,skl_OPTICS,zelnik6_y.zip
10,inf,cosine,auto,4,0.8181154727935791,-0.0976,55.7118,1.2424,0.6495,0.1578,0.6049,0.3996,0.4143,0.5643,0.3272,0.4143,0.397,inf,20.0,skl_OPTICS,zelnik6_y.zip
10,inf,euclidean,auto,4,0.4308032989501953,-0.1895,36.6557,1.1494,0.6131,0.1545,0.498,0.364,0.3818,0.4645,0.324,0.3818,0.4541,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
10,inf,euclidean,auto,4,0.4433286190032959,-0.1895,36.6557,1.1494,0.6131,0.1545,0.498,0.364,0.3818,0.4645,0.324,0.3818,0.4541,100.0,20.0,skl_OPTICS,zelnik6_y.zip
10,inf,euclidean,auto,4,0.444066047668457,-0.1895,36.6557,1.1494,0.6131,0.1545,0.498,0.364,0.3818,0.4645,0.324,0.3818,0.4541,inf,20.0,skl_OPTICS,zelnik6_y.zip
20,inf,correlation,auto,4,0.5470418930053711,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
20,inf,correlation,auto,4,0.5547232627868652,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,100.0,20.0,skl_OPTICS,zelnik6_y.zip
20,inf,correlation,auto,4,0.5559742450714111,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,inf,20.0,skl_OPTICS,zelnik6_y.zip
20,inf,cosine,auto,4,0.8096458911895752,0.0527,21.8464,1.7394,0.6906,0.2643,0.622,0.4564,0.4652,0.5803,0.3882,0.4652,0.4811,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
20,inf,cosine,auto,4,0.8040106296539307,0.0527,21.8464,1.7394,0.6906,0.2643,0.622,0.4564,0.4652,0.5803,0.3882,0.4652,0.4811,100.0,20.0,skl_OPTICS,zelnik6_y.zip
20,inf,cosine,auto,4,0.8342912197113037,0.0527,21.8464,1.7394,0.6906,0.2643,0.622,0.4564,0.4652,0.5803,0.3882,0.4652,0.4811,inf,20.0,skl_OPTICS,zelnik6_y.zip
20,inf,euclidean,auto,4,0.4716067314147949,-0.3331,13.7158,1.526,0.4628,0.0254,0.1978,0.2254,0.2334,0.1845,0.3174,0.2334,0.4967,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
20,inf,euclidean,auto,4,0.4445381164550781,-0.3331,13.7158,1.526,0.4628,0.0254,0.1978,0.2254,0.2334,0.1845,0.3174,0.2334,0.4967,100.0,20.0,skl_OPTICS,zelnik6_y.zip
20,inf,euclidean,auto,4,0.431088924407959,-0.3331,13.7158,1.526,0.4628,0.0254,0.1978,0.2254,0.2334,0.1845,0.3174,0.2334,0.4967,inf,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,correlation,auto,4,0.5549192428588867,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,correlation,auto,4,0.580143928527832,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,100.0,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,correlation,auto,4,0.5670242309570312,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,inf,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,cosine,auto,4,0.8243958950042725,-0.1411,18.7351,3.6948,0.6559,0.0258,0.9195,0.233,0.3502,0.8578,0.22,0.3502,0.1367,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,cosine,auto,4,0.8656589984893799,-0.1411,18.7351,3.6948,0.6559,0.0258,0.9195,0.233,0.3502,0.8578,0.22,0.3502,0.1367,100.0,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,cosine,auto,4,0.8124549388885498,-0.1411,18.7351,3.6948,0.6559,0.0258,0.9195,0.233,0.3502,0.8578,0.22,0.3502,0.1367,inf,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,euclidean,auto,4,0.4338116645812988,0.3913,24.6463,1.2496,0.6573,0.0305,0.9651,0.2592,0.3699,0.9003,0.2328,0.3699,0.1474,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,euclidean,auto,4,0.4382205009460449,0.3913,24.6463,1.2496,0.6573,0.0305,0.9651,0.2592,0.3699,0.9003,0.2328,0.3699,0.1474,100.0,20.0,skl_OPTICS,zelnik6_y.zip
2,inf,euclidean,auto,4,1.3281307220458984,0.3913,24.6463,1.2496,0.6573,0.0305,0.9651,0.2592,0.3699,0.9003,0.2328,0.3699,0.1474,inf,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,correlation,auto,4,0.5460498332977295,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,correlation,auto,4,0.5536892414093018,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,100.0,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,correlation,auto,4,0.5463998317718506,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,inf,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,cosine,auto,4,0.8252658843994141,-0.2191,8.7138,3.3586,0.6434,0.042,0.7472,0.279,0.3467,0.6971,0.2307,0.3467,0.2135,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,cosine,auto,4,0.8163580894470215,-0.2191,8.7138,3.3586,0.6434,0.042,0.7472,0.279,0.3467,0.6971,0.2307,0.3467,0.2135,100.0,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,cosine,auto,4,0.8294122219085693,-0.2191,8.7138,3.3586,0.6434,0.042,0.7472,0.279,0.3467,0.6971,0.2307,0.3467,0.2135,inf,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,euclidean,auto,4,0.4385690689086914,-0.01,4.4373,1.438,0.6032,0.0193,0.6153,0.2491,0.324,0.574,0.2257,0.324,0.2701,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,euclidean,auto,4,0.4521536827087402,-0.01,4.4373,1.438,0.6032,0.0193,0.6153,0.2491,0.324,0.574,0.2257,0.324,0.2701,100.0,20.0,skl_OPTICS,zelnik6_y.zip
3,inf,euclidean,auto,4,0.457374095916748,-0.01,4.4373,1.438,0.6032,0.0193,0.6153,0.2491,0.324,0.574,0.2257,0.324,0.2701,inf,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,correlation,auto,4,0.5568723678588867,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,correlation,auto,4,0.5675632953643799,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,100.0,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,correlation,auto,4,0.5553336143493652,0.5909,203.7951,0.7759,0.7909,0.5822,0.5267,0.596,0.598,0.4913,0.7637,0.598,0.7664,inf,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,cosine,auto,4,0.8164777755737305,-0.2046,15.2513,2.7226,0.6289,0.0566,0.6316,0.3128,0.3499,0.5892,0.2489,0.3499,0.2768,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,cosine,auto,4,0.8215811252593994,-0.2046,15.2513,2.7226,0.6289,0.0566,0.6316,0.3128,0.3499,0.5892,0.2489,0.3499,0.2768,100.0,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,cosine,auto,4,0.8246712684631348,-0.2046,15.2513,2.7226,0.6289,0.0566,0.6316,0.3128,0.3499,0.5892,0.2489,0.3499,0.2768,inf,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,euclidean,auto,4,0.4340050220489502,-0.0779,21.3489,1.2529,0.6036,0.0555,0.5697,0.3335,0.3617,0.5315,0.2741,0.3617,0.3272,1000.0,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,euclidean,auto,4,0.4277763366699219,-0.0779,21.3489,1.2529,0.6036,0.0555,0.5697,0.3335,0.3617,0.5315,0.2741,0.3617,0.3272,100.0,20.0,skl_OPTICS,zelnik6_y.zip
5,inf,euclidean,auto,4,0.4288148880004883,-0.0779,21.3489,1.2529,0.6036,0.0555,0.5697,0.3335,0.3617,0.5315,0.2741,0.3617,0.3272,inf,20.0,skl_OPTICS,zelnik6_y.zip
